imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,baro_pressure_hPa,baro_temperature_C,baro_altitude_m,baro_climbRate_mps,gps_latE7,gps_lonE7,gps_altitude_m,gps_speed_mps,gps_heading_deg,gps_sats,gps_fix,roll_deg,filterRoll_deg,pitch_deg,yaw_deg,servoDegree_deg,veltotal_cmps,velimu_cmps,baroTimeMs,gpsTimeMs,aTimeMs,aRxTimeMs,state,timeMs,stateStr
-0.9300000071525574,0.5699999928474426,9.680000305175781,0.0,0.0,0.0,1006.7095947265625,24.190000534057617,0.2147386521100998,0.07355929911136627,0,0,0.0,0.0,0.0,0,0,0.054445020854473114,0.0,-0.012665181420743465,-0.9447309970855713,-87.0,-87.0,0.0,5493,5527,70012,5517,0,5527,STANDBY
-0.9200000166893005,0.5299999713897705,9.680000305175781,0.0,0.0,0.0,1006.7236938476562,24.200000762939453,0.16515515744686127,-0.35846126079559326,0,0,0.0,0.0,0.0,0,0,0.054475538432598114,0.0,-0.01223792228847742,-0.9447615146636963,-87.0,-87.0,0.0,5599,5627,70118,5621,0,5627,STANDBY
-0.9300000071525574,0.5799999833106995,9.680000305175781,0.0,0.0,0.0,1006.7332763671875,24.190000534057617,0.10648911446332932,-0.3756084442138672,0,0,0.0,0.0,0.0,0,0,0.05471968650817871,0.0,-0.0119022186845541,-0.9449141025543213,-87.0,-87.0,0.0,5699,5727,70205,5709,0,5727,STANDBY
-0.9800000190734863,0.5899999737739563,9.699999809265137,0.0,0.0,0.0,1006.7120971679688,24.190000534057617,0.16265623271465302,-0.21515972912311554,0,0,0.0,0.0,0.0,0,0,0.054994355887174606,0.0,-0.01150547806173563,-0.9449446201324463,-87.0,-87.0,0.0,5799,5827,70310,5815,0,5827,STANDBY
-0.8999999761581421,0.5,9.6899995803833,0.0,0.0,0.0,1006.7179565429688,24.190000534057617,0.14368382096290588,-0.00644703209400177,0,0,0.0,0.0,0.0,0,0,0.05493331700563431,0.0,-0.010803552344441414,-0.9451582431793213,-87.0,-87.0,0.0,5899,5927,70415,5919,0,5927,STANDBY
-0.949999988079071,0.5,9.6899995803833,0.0,0.0,0.0,1006.7357788085938,24.190000534057617,0.02067042887210846,-0.520006000995636,0,0,0.0,0.0,0.0,0,0,0.05471968650817871,0.0,-0.011688589118421078,-0.9449446201324463,-87.0,-87.0,0.0,5999,6027,70520,6025,0,6027,STANDBY
-0.9399999976158142,0.6200000047683716,9.670000076293945,0.0,0.0,0.0,1006.7179565429688,24.190000534057617,0.12521371245384216,-0.18786488473415375,0,0,0.0,0.0,0.0,0,0,0.05493331700563431,0.0,-0.011383404023945332,-0.9450666904449463,-87.0,-87.0,0.0,6099,6127,70608,6113,0,6127,STANDBY
-0.9800000190734863,0.550000011920929,9.6899995803833,0.0,0.0,0.0,1006.7095947265625,24.190000534057617,0.2331382930278778,0.8578492403030396,0,0,0.0,0.0,0.0,0,0,0.05471968650817871,0.0,-0.011597033590078354,-0.9448530673980713,-87.0,-87.0,0.0,6199,6227,70713,6217,0,6227,STANDBY
-0.9399999976158142,0.5,9.699999809265137,0.0,0.0,0.0,1006.700927734375,24.200000762939453,0.22157645225524902,0.47767093777656555,0,0,0.0,0.0,0.0,0,0,0.05459761247038841,0.0,-0.012329477816820145,-0.9446394443511963,-87.0,-87.0,0.0,6299,6327,70818,6323,0,6327,STANDBY
-0.9100000262260437,0.5899999737739563,9.680000305175781,0.0,0.0,0.0,1006.7245483398438,24.200000762939453,0.1411917805671692,-0.26424720883369446,0,0,0.0,0.0,0.0,0,0,0.054383985698223114,0.0,-0.01315347757190466,-0.9443647861480713,-87.0,-87.0,0.0,6400,6427,70906,6410,0,6427,STANDBY
-0.8999999761581421,0.5699999928474426,9.6899995803833,0.0,0.0,0.0,1006.7086181640625,24.200000762939453,0.21173983812332153,-0.006802001968026161,0,0,0.0,0.0,0.0,0,0,0.054414503276348114,0.0,-0.012451551854610443,-0.9444563388824463,-87.0,-87.0,0.0,6500,6528,71011,6515,0,6528,STANDBY
-0.949999988079071,0.5400000214576721,9.6899995803833,0.0,0.0,0.0,1006.7254028320312,24.200000762939453,0.1760437786579132,0.20731157064437866,0,0,0.0,0.0,0.0,0,0,0.05456709489226341,0.0,-0.012054811231791973,-0.9444868564605713,-87.0,-87.0,0.0,6600,6628,71116,6621,0,6628,STANDBY
-0.9599999785423279,0.4699999988079071,9.6899995803833,0.0,0.0,0.0,1006.7203369140625,24.200000762939453,0.15889030694961548,-0.12540903687477112,0,0,0.0,0.0,0.0,0,0,0.05475020781159401,0.0,-0.011688589118421078,-0.9445173740386963,-87.0,-87.0,0.0,6700,6728,71221,6725,0,6728,STANDBY
-0.8999999761581421,0.6399999856948853,9.670000076293945,0.0,0.0,0.0,1006.7101440429688,24.200000762939453,0.17026855051517487,-0.23558321595191956,0,0,0.0,0.0,0.0,0,0,0.05496383458375931,0.0,-0.011658070608973503,-0.9446394443511963,-87.0,-87.0,0.0,6800,6828,71309,6813,0,6828,STANDBY
-0.9100000262260437,0.5699999928474426,9.680000305175781,0.0,0.0,0.0,1006.7086181640625,24.200000762939453,0.2452608346939087,0.31083783507347107,0,0,0.0,0.0,0.0,0,0,0.05468916893005371,0.0,-0.011383404023945332,-0.9446394443511963,-87.0,-87.0,0.0,6900,6928,71414,6919,0,6928,STANDBY
-0.949999988079071,0.4699999988079071,9.6899995803833,0.0,0.0,0.0,1006.7329711914062,24.200000762939453,0.09007937461137772,-0.13048404455184937,0,0,0.0,0.0,0.0,0,0,0.05475020781159401,0.0,-0.010864589363336563,-0.9448530673980713,-87.0,-87.0,0.0,7000,7028,71519,7023,0,7028,STANDBY
-0.949999988079071,0.5899999737739563,9.680000305175781,0.0,0.0,0.0,1006.7108764648438,24.209999084472656,0.15026508271694183,-0.5325295925140381,0,0,0.0,0.0,0.0,0,0,0.055207982659339905,0.0,-0.011017181910574436,-0.9449446201324463,-87.0,-87.0,0.0,7100,7128,71607,7111,0,7128,STANDBY
-0.949999988079071,0.6200000047683716,9.6899995803833,0.0,0.0,0.0,1006.7344360351562,24.209999084472656,0.052135169506073,-0.28118109703063965,0,0,0.0,0.0,0.0,0,0,0.055116429924964905,0.0,-0.01071199681609869,-0.9450361728668213,-87.0,-87.0,0.0,7200,7228,71712,7217,0,7228,STANDBY
-0.949999988079071,0.4699999988079071,9.699999809265137,0.0,0.0,0.0,1006.7479858398438,24.209999084472656,-0.021573947742581367,-0.5655729174613953,0,0,0.0,0.0,0.0,0,0,0.0554216131567955,0.0,-0.009765923023223877,-0.9454329013824463,-87.0,-87.0,0.0,7300,7328,71817,7321,0,7328,STANDBY
-0.9399999976158142,0.5099999904632568,9.680000305175781,0.0,0.0,0.0,1006.7310791015625,24.209999084472656,0.06903348118066788,-0.03662426397204399,0,0,0.0,0.0,0.0,0,0,0.05487228184938431,0.0,-0.011597033590078354,-0.9450666904449463,-87.0,-87.0,0.0,7400,7428,71922,7427,0,7428,STANDBY
-0.9200000166893005,0.6399999856948853,9.680000305175781,0.0,0.0,0.0,1006.73779296875,24.209999084472656,0.02561795338988304,0.13969990611076355,0,0,0.0,0.0,0.0,0,0,0.055085908621549606,0.0,-0.010986663401126862,-0.9452192783355713,-87.0,-87.0,0.0,7500,7528,72010,7515,0,7528,STANDBY
-0.949999988079071,0.49000000953674316,9.6899995803833,0.0,0.0,0.0,1006.7513427734375,24.209999084472656,-0.07621169835329056,-0.5455576181411743,0,0,0.0,0.0,0.0,0,0,0.05475020781159401,0.0,-0.011200292967259884,-0.9450972080230713,-87.0,-87.0,0.0,7600,7628,72115,7619,0,7628,STANDBY
-0.9399999976158142,0.49000000953674316,9.680000305175781,0.0,0.0,0.0,1006.7609252929688,24.209999084472656,-0.18979880213737488,-1.026180624961853,0,0,0.0,0.0,0.0,0,0,0.055207982659339905,0.0,-0.01110873743891716,-0.9452803134918213,-87.0,-87.0,0.0,7700,7728,72220,7725,0,7728,STANDBY
-0.9200000166893005,0.6200000047683716,9.680000305175781,0.0,0.0,0.0,1006.76904296875,24.209999084472656,-0.23165059089660645,-0.8393688201904297,0,0,0.0,0.0,0.0,0,0,0.055177465081214905,0.0,-0.01104770042002201,-0.9453413486480713,-87.0,-87.0,0.0,7800,7828,72308,7813,0,7828,STANDBY
-0.8899999856948853,0.5099999904632568,9.699999809265137,0.0,0.0,0.0,1006.7413330078125,24.219999313354492,-0.09289273619651794,0.17717237770557404,0,0,0.0,0.0,0.0,0,0,0.05475020781159401,0.0,-0.011230811476707458,-0.9452497959136963,-87.0,-87.0,0.0,7901,7928,72413,7917,0,7928,STANDBY
