imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,baro_pressure_hPa,baro_temperature_C,baro_altitude_m,baro_climbRate_mps,gps_latE7,gps_lonE7,gps_altitude_m,gps_speed_mps,gps_heading_deg,gps_sats,gps_fix,roll_deg,filterRoll_deg,pitch_deg,yaw_deg,veltotal_cmps,velimu_cmps,servoDeg1_deg,servoDeg2_deg,baroTimeMs,gpsTimeMs,aTimeMs,aRxTimeMs,state,timeMs,stateStr
0.4699999988079071,-0.18000000715255737,9.640000343322754,0.0,0.0,0.0,1006.2266235351562,23.229999542236328,0.20190031826496124,-1.0154008865356445,0,0,0.0,0.0,0.0,0,0,-0.02627643756568432,0.0,-0.020996734499931335,-0.9855952858924866,0.0,0.0,100.0,100.0,10264,10307,10784,10299,0,10307,STANDBY
0.4000000059604645,-0.17000000178813934,9.640000343322754,0.0,0.0,0.0,1006.2324829101562,23.229999542236328,0.16769641637802124,-0.4822203516960144,0,0,0.0,0.0,0.0,0,0,-0.025757621973752975,0.0,-0.020325327292084694,-0.9856258034706116,0.0,0.0,100.0,100.0,10364,10407,10883,10406,0,10407,STANDBY
0.3400000035762787,-0.23999999463558197,9.630000114440918,0.0,0.0,0.0,1005.411376953125,22.729999542236328,3.901712417602539,11.032938003540039,0,0,0.0,0.0,0.0,0,0,-0.0236518457531929,0.0,-0.019653920084238052,-0.9855952858924866,0.0,0.0,100.0,100.0,10464,10507,10982,10497,0,10507,STANDBY
0.30000001192092896,-0.20000000298023224,9.630000114440918,0.0,0.0,0.0,1004.6663818359375,22.280000686645508,10.89760971069336,43.630157470703125,0,0,0.0,0.0,0.0,0,0,-0.02304147556424141,0.0,-0.019592883065342903,-0.9854732155799866,0.0,0.0,100.0,100.0,10564,10607,11080,10596,0,10607,STANDBY
0.36000001430511475,-0.15000000596046448,9.649999618530273,0.0,0.0,0.0,1004.608154296875,22.25,12.941553115844727,48.491981506347656,0,0,0.0,0.0,0.0,0,0,-0.02227851189672947,0.0,-0.019196143373847008,-0.9854426980018616,0.0,0.0,100.0,100.0,10664,10707,11180,10694,0,10707,STANDBY
0.36000001430511475,-0.18000000715255737,9.649999618530273,0.0,0.0,0.0,1005.95947265625,23.079999923706055,6.309981822967529,-2.6015520095825195,0,0,0.0,0.0,0.0,0,0,-0.021790215745568275,0.0,-0.018768884241580963,-0.9854121804237366,0.0,0.0,100.0,100.0,10764,10807,11278,10793,0,10807,STANDBY
0.9300000071525574,-0.03999999910593033,9.649999618530273,0.0,0.0,0.0,1006.2271728515625,23.239999771118164,1.6158641576766968,-45.017425537109375,0,0,0.0,0.0,0.0,0,0,-0.02462843805551529,0.0,-0.019348734989762306,-0.9854121804237366,0.0,0.0,100.0,100.0,10864,10907,11377,10892,0,10907,STANDBY
0.36000001430511475,-0.07000000029802322,9.680000305175781,0.0,0.0,0.0,1006.247314453125,23.25,0.40232837200164795,-37.19883728027344,0,0,0.0,0.0,0.0,0,0,-0.025940733030438423,0.0,-0.0196844395250082,-0.9853205680847168,0.0,0.0,100.0,100.0,10964,11008,11475,10991,0,11008,STANDBY
0.75,-0.27000001072883606,9.619999885559082,0.0,0.0,0.0,1006.2592163085938,23.25,0.09525226056575775,-14.180181503295898,0,0,0.0,0.0,0.0,0,0,-0.027985474094748497,0.0,-0.01837214268743992,-0.9851984977722168,0.0,0.0,100.0,100.0,11064,11108,11591,11106,0,11108,STANDBY
0.6200000047683716,-0.1899999976158142,9.640000343322754,0.0,0.0,0.0,1006.2347412109375,23.25,0.1412447839975357,-3.9006288051605225,0,0,0.0,0.0,0.0,0,0,-0.030579546466469765,0.0,-0.01889095827937126,-0.9850764274597168,0.0,0.0,100.0,100.0,11164,11208,11689,11204,0,11208,STANDBY
0.5199999809265137,-0.17000000178813934,9.649999618530273,0.0,0.0,0.0,1006.244873046875,23.25,0.1267096847295761,-0.6210170388221741,0,0,0.0,0.0,0.0,0,0,-0.029969176277518272,0.0,-0.017883846536278725,-0.9850459098815918,0.0,0.0,100.0,100.0,11264,11308,11788,11303,0,11308,STANDBY
0.36000001430511475,-0.1899999976158142,9.649999618530273,0.0,0.0,0.0,1006.2457885742188,23.25,0.06807204335927963,-0.3807227611541748,0,0,0.0,0.0,0.0,0,0,-0.028809472918510437,0.0,-0.01751762442290783,-0.9850153923034668,0.0,0.0,100.0,100.0,11364,11408,11871,11406,0,11408,STANDBY
0.4300000071525574,-0.20999999344348907,9.630000114440918,0.0,0.0,0.0,1005.3936157226562,22.739999771118164,3.989142656326294,11.536566734313965,0,0,0.0,0.0,0.0,0,0,-0.02682577073574066,0.0,-0.016876736655831337,-0.9849848747253418,0.0,0.0,100.0,100.0,11464,11508,11985,11500,0,11508,STANDBY
0.3199999928474426,-0.2199999988079071,9.649999618530273,0.0,0.0,0.0,1004.6448364257812,22.280000686645508,11.022705078125,44.56524658203125,0,0,0.0,0.0,0.0,0,0,-0.025635547935962677,0.0,-0.016479995101690292,-0.9849543571472168,0.0,0.0,100.0,100.0,11564,11608,12084,11598,0,11608,STANDBY
0.49000000953674316,-0.17000000178813934,9.649999618530273,0.0,0.0,0.0,1004.6248168945312,22.260000228881836,12.893126487731934,48.28683090209961,0,0,0.0,0.0,0.0,0,0,-0.025208288803696632,0.0,-0.016418958082795143,-0.9849238395690918,0.0,0.0,100.0,100.0,11664,11708,12183,11698,0,11708,STANDBY
0.4300000071525574,-0.2199999988079071,9.630000114440918,0.0,0.0,0.0,1006.0353393554688,23.1299991607666,6.927022457122803,1.3300342559814453,0,0,0.0,0.0,0.0,0,0,-0.025208288803696632,0.0,-0.016205329447984695,-0.9848017692565918,0.0,0.0,100.0,100.0,11764,11808,12281,11796,0,11808,STANDBY
0.44999998807907104,-0.18000000715255737,9.640000343322754,0.0,0.0,0.0,1006.2550048828125,23.25,1.5480269193649292,-44.357460021972656,0,0,0.0,0.0,0.0,0,0,-0.024964140728116035,0.0,-0.0159611813724041,-0.9847102165222168,0.0,0.0,100.0,100.0,11864,11908,12380,11895,0,11908,STANDBY
